model,prompt_strategy,recall,precision,f_score
gemini-3.1-flash-lite,cot,0.0397,0.0168,0.0213
gemini-3.1-flash-lite,few_shot,0.0117,0.0075,0.0065
gemini-3.1-flash-lite,retrieval_aware,0.0333,0.0144,0.0187
gemini-3.1-flash-lite,zero_shot,0.0389,0.015,0.0204
gpt-5.4-nano,cot,0.0764,0.0228,0.0332
gpt-5.4-nano,few_shot,0.0562,0.0163,0.0241
gpt-5.4-nano,retrieval_aware,0.0772,0.0235,0.0333
gpt-5.4-nano,zero_shot,0.0789,0.0226,0.0333
llama3.1:8b,cot,0.0167,0.0071,0.0095
llama3.1:8b,few_shot,0.0293,0.0162,0.0186
llama3.1:8b,retrieval_aware,0.041,0.0217,0.0261
llama3.1:8b,zero_shot,0.0377,0.02,0.0238
